DATASET	NLME_RESULT_ID	NLME_CURVE_ID	COSMIC_ID	CELL_LINE_NAME	SANGER_MODEL_ID	TCGA_DESC	DRUG_ID	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME	COMPANY_ID	WEBRELEASE	MIN_CONC	MAX_CONC	LN_IC50	AUC	RMSE	Z_SCORE
GDSC2	343	15946320	683667	PFSK-1	SIDM01132	MB	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	4.48881	0.974081	0.072391	0.201882
GDSC2	343	15946560	684052	A673	SIDM00848	UNCLASSIFIED	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	1.782152	0.842679	0.068257	-1.881795
GDSC2	343	15946840	684057	ES5	SIDM00263	UNCLASSIFIED	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	2.116072	0.869909	0.070087	-1.624732
GDSC2	343	15947099	684059	ES7	SIDM00269	UNCLASSIFIED	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	1.685857	0.834608	0.092726	-1.955925
GDSC2	343	15947381	684062	EW-11	SIDM00203	UNCLASSIFIED	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	2.078938	0.844879	0.114103	-1.653318
GDSC2	343	15947663	684072	SK-ES-1	SIDM01111	UNCLASSIFIED	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	0.5929	0.727416	0.081839	-2.79732
GDSC2	343	15947944	687448	COLO-829	SIDM00909	SKCM	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	4.088327	0.900234	0.081488	-0.106423
GDSC2	343	15948223	687452	5637	SIDM00807	BLCA	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	3.835821	0.940289	0.082472	-0.300811
GDSC2	343	15948503	687455	RT4	SIDM01085	BLCA	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	3.474058	0.940203	0.083815	-0.579308
GDSC2	343	15948784	687457	SW780	SIDM01160	BLCA	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	5.039345	0.968657	0.096645	0.625703
GDSC2	343	15949065	687459	TCCSUP	SIDM01190	BLCA	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	4.490758	0.951545	0.057516	0.203381
GDSC2	343	15949346	687505	C-33-A	SIDM00889	CESC	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	3.932204	0.952948	0.070509	-0.226612
GDSC2	343	15949628	687506	C-4-I	SIDM00905	CESC	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	4.023659	0.968354	0.109347	-0.156207
GDSC2	343	15949908	687514	ME-180	SIDM00627	CESC	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	3.949449	0.947656	0.096027	-0.213336
GDSC2	343	15950189	687561	42-MG-BA	SIDM00982	GBM	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	3.852608	0.951917	0.051625	-0.287888
GDSC2	343	15950470	687562	8-MG-BA	SIDM00998	GBM	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	3.025858	0.933521	0.112667	-0.924347
GDSC2	343	15950750	687563	A172	SIDM00799	GBM	1017	Olaparib	PARP1, PARP2	Genome integrity	1046	Y	0.010005	10	3.282475	0.917135	0.079703	-0.726795
